ID,Noms
CatharinaVanNoort,Fille d'
CatherineDeMedicis,Caterine de Medicis
CatherineMichelleDAutriche,Donna Caterina d'Austria
CatonUtique,"Caton d'Utique,Caton"
Catule,"Q Catule,Catulle,Catule"
Cecrops,"Cecrops,CECROPS"
Celesti,Celesti
Censorin,Censorin
Ceres,Ceres
CesarDeBus,"Cesar de Bus.,Cesar de Bus"
CesareBaronio,Baronius
CesareCesariano,"Cesare Cesariani,Cesariane"
CesareDaSesto,"Cesare de Sesto,Cesare da Sesto,Cesare Sesto,Sesto"
CesareNebbia,"Cesare Nebbia,Cesare Nebia,Cesare"
CesareRipa,"Cesar Ripa,Ripa"
CesareVecellio,Cesar Vecellius
Chalcidius,Calcidio
CharesDeLindos,"Caretés de
                                Lyndos,Lindien,Chares"
Charlemagne,"ce glorieux Prince,Ce grand Empereur,Charlemagne,Charles,KAROLUS"
CharlesAlphonseDuFresnoy,"Charles Alphonse du Fresnoy,CHARLES-ALFONSE DU FRESNOY,Charles-Alfonse du Fresnoy,Charles Alfonse du Fresnoy,Charles Alfonce du Fresnoy,Charles Alphonse Dufresnoy,Alphonse du Fresnoy,Du Fresnoy,du Fresnoy,Dufresnoy,du Frenoi,Dufrénoy,Dufrenoy"
CharlesBeaubrun,Charles Baubrun
CharlesCalabre,Charles de Calabre
CharlesDAutriche,Carlo
CharlesDEscoubleau,Monsieur
CharlesDeLAubespine,"MARQUIS DE
                     CHASTEAUNEUF"
CharlesDeLEcluse,"De
                            l'Escluse"
CharlesDeLorraine,"le Cardinal de Lorraine,Cardinal de Lorraine,Cardinal"
CharlesDorigny,Charles
CharlesEmmanuelIer,"Carlo Emanuello Duca di Savoia,Charles Emanuel Duc de Savoye,Charles Emanuel de Savoye,Charles Emanuel,Duca di Savoia,CARLO EMANUEL"
CharlesErrard,Mr. Errard
CharlesFauconDeRis,Monsieur
CharlesI,"Le Roy d'Angleterre,le Roy d'Angleterre,Roy d'Angleterre,Charles premier,Charles Premier,Charles Prémier,Charles Roy d',Roy Charles,feu Roi d',Charles,Roy d',d'"
CharlesIAnjou,"Charles d'Anjou,Roi Charles,Charles I"
CharlesII,"Prince de Galles,Charles II,Prince"
CharlesIIBourbon,Cardinal di Baiosa
CharlesIIEspagne,Roy Catholique à la Paix d'
CharlesIIFrancois,Arciduca Carlo
CharlesIIIBourbon,"Charles de Bourbon,Duca di Borbone"
CharlesIIILorraine,"Charles de Lorraine,Duc de Lorraine"
CharlesIX,"Charles IX,Roi"
CharlesLeBrun,"Charles le Brun,CHARLES LE BRUN,Charles Le Brun,le Sr. le Brun,Mr. le Brun,le Brun,Le Brun"
CharlesLeCointe,Monsieur le
CharlesPoerson,"Charles Person,Person"
CharlesQuint,"Charles
                           V,l'Empereur Charles-Quint,Empereur Charles-Quint,ce grand Prince,Charles-Quint,Charles Quint,Carlo quinto,cet Empereur,Charlequint,l'Empereur,Charles V,ce Prince,Empereur,Carlo"
CharlesV,"Empereur Charles V,Carlo quinto"
CharlesVI,"Charles VI,ce Roi"
CharlesVII,"Roi Charles VII,Charles VII"
