xml_id	personne_qid	type	lieu_qid
JulesMazarin	Q166056	décès	Q193819
CaiusMarius	Q177975	naissance	Q116440
CaiusMarius	Q177975	décès	Q220
Maxence	Q182070	naissance	Q220
Maxence	Q182070	décès	Q1127325
CarelVanMander	Q206173	naissance	Q822783
CarelVanMander	Q206173	décès	Q727
AldoManuzio	Q213220	naissance	Q128057
AldoManuzio	Q213220	décès	Q641
SaintMartine	Q272101	décès	Q220
Mausole	Q296857	naissance	Q193214
Mausole	Q296857	décès	Q5843680
MarcusClaudiusMarcellus	Q312306	naissance	Q1747689
MarcusClaudiusMarcellus	Q312306	décès	Q52691
FrancoisMansart	Q313701	naissance	Q90
FrancoisMansart	Q313701	décès	Q90
SaintMaurice	Q316599	naissance	Q101583
SaintMaurice	Q316599	décès	Q69545
MasolinoDaPanicale	Q318117	naissance	Q20501
MasolinoDaPanicale	Q318117	décès	Q2044
GiambattistaMarino	Q332489	naissance	Q2634
GiambattistaMarino	Q332489	décès	Q2634
GiovanniMansueti	Q347842	naissance	Q641
GiovanniMansueti	Q347842	décès	Q641
FrancoisDeMalherbe	Q358574	naissance	Q41185
FrancoisDeMalherbe	Q358574	décès	Q90
VincentIdeMantoue	Q452580	naissance	Q6247
VincentIdeMantoue	Q452580	décès	Q6247
PierandreaMattioli	Q457191	naissance	Q2751
PierandreaMattioli	Q457191	décès	Q3376
SigismondMalatesta	Q506640	naissance	Q6221
SigismondMalatesta	Q506640	décès	Q13369
CarloMaratti	Q538998	naissance	Q123632
CarloMaratti	Q538998	décès	Q220
JacobMatham	Q577044	naissance	Q9920
JacobMatham	Q577044	décès	Q9920
MichelDeMarolles	Q673168	naissance	Q752916
MichelDeMarolles	Q673168	décès	Q90
BartolomeoManfredi	Q721166	naissance	Q43003
BartolomeoManfredi	Q721166	décès	Q220
FredericIIMantoue	Q932200	naissance	Q6247
FredericIIMantoue	Q932200	décès	Q766501
CamilloMassimi	Q1081418	naissance	Q220
CamilloMassimi	Q1081418	décès	Q220
CarloCesareMalvasia	Q1160847	naissance	Q1891
CarloCesareMalvasia	Q1160847	décès	Q1891
GuillaumeMarcillat	Q1364424	naissance	Q213313
GuillaumeMarcillat	Q1364424	décès	Q13378
MarcantonioDellaTorre	Q1752847	naissance	Q2028
MarcantonioDellaTorre	Q1752847	décès	Q194136
MatthijsBril	Q1908666	naissance	Q12892
MatthijsBril	Q1908666	décès	Q220
PierreDeMarca	Q2302035	naissance	Q859063
PierreDeMarca	Q2302035	décès	Q90
JeanMartin	Q2482957	naissance	Q90
DianaScultoriGhisi	Q3026163	naissance	Q6247
DianaScultoriGhisi	Q3026163	décès	Q220
GiovanniBattistaScultori	Q3107069	naissance	Q6247
GiovanniBattistaScultori	Q3107069	décès	Q6247
SamuelMarolois	Q3261976	naissance	Q163795
SamuelMarolois	Q3261976	décès	Q36600
RinaldoMantovano	Q3432160	naissance	Q6247
HerculeMalatesta	Q3731200	naissance	Q100065
HerculeMalatesta	Q3731200	décès	Q42782
GiovanniAmbrogioMazenta	Q3766382	naissance	Q490
GiovanniAmbrogioMazenta	Q3766382	décès	Q220
