xml_id,region,latitude,longitude,count
CarloRidolfi,Vénétie,45.733333333,11.85,1
DanieleDaVolterra,Toscane,43.45,11.2,1
Dante,Toscane,43.45,11.2,4
DomenicoFontana,Suisse,46.798562,8.231973,1
Donatello,Toscane,43.45,11.2,4
FrancescoPrimaticcio,Émilie-Romagne,44.75,11.0,1
Giotto,Toscane,43.45,11.2,1
GiovanniBaglione,Latium,41.9,12.716666666,5
GiovanniFrancescoPenni,Toscane,43.45,11.2,2
GiulioRomano,Latium,41.9,12.716666666,2
GuidoReni,Émilie-Romagne,44.75,11.0,10
LeonardoDaVinci,Toscane,43.45,11.2,8
Masaccio,Toscane,43.45,11.2,1
MichelAnge,Toscane,43.45,11.2,63
NiccoloTribolo,Toscane,43.45,11.2,7
PaoloRomano,Latium,41.9,12.716666666,2
Perugin,Ombrie,42.983333333,12.566666666,11
PierreDeCortone,Toscane,43.45,11.2,1
PietroBembo,Vénétie,45.733333333,11.85,1
Raphael,Marches,43.316666666,13.0,21
RossoFiorentino,Toscane,43.45,11.2,7
SebastianoDelPiombo,Vénétie,45.733333333,11.85,1
Titien,Vénétie,45.733333333,11.85,1
AlbrechtDurer,Allemagne,51.0,10.0,1
BenedettoVarchi,Toscane,43.45,11.2,1
Bramante,Marches,43.316666666,13.0,14
CarloRidolfi,Vénétie,45.733333333,11.85,2
CesareDaSesto,Lombardie,45.65,9.95,1
CesareRipa,Ombrie,42.983333333,12.566666666,2
Dante,Toscane,43.45,11.2,4
Donatello,Toscane,43.45,11.2,2
LeonardoDaVinci,Toscane,43.45,11.2,2
MichelAnge,Toscane,43.45,11.2,198
Perugin,Ombrie,42.983333333,12.566666666,1
PietroTorrigiano,Toscane,43.45,11.2,2
Raphael,Marches,43.316666666,13.0,5
AgostinoVeneziano,Vénétie,45.733333333,11.85,6
AlbrechtDurer,Allemagne,51.0,10.0,4
AlessandroCasolani,Toscane,43.45,11.2,1
AndreaDelSarto,Toscane,43.45,11.2,1
AndreaMantegna,Vénétie,45.733333333,11.85,3
AntoineLafrery,France,47.0,2.0,1
AntonioDaTrento,Trentin-Haut-Adige,46.383333333,11.416666666,1
AntonioLabacco,Piémont,45.25,7.916666666,1
AntonioTempesta,Toscane,43.45,11.2,2
BaccioBaldini,Toscane,43.45,11.2,1
BaccioBandinelli,Toscane,43.45,11.2,6
BaldassareCastiglione,Lombardie,45.65,9.95,1
BaldassarrePeruzzi,Toscane,43.45,11.2,1
Baroccio,Marches,43.316666666,13.0,2
BattistaDelMoro,Vénétie,45.733333333,11.85,1
BattistaFranco,Vénétie,45.733333333,11.85,1
Bramante,Marches,43.316666666,13.0,4
Carrache,Émilie-Romagne,44.75,11.0,6
CherubinoAlberti,Toscane,43.45,11.2,1
CornelisCort,Pays-Bas,52.316666666,5.55,1
Correge,Émilie-Romagne,44.75,11.0,2
DanieleDaVolterra,Toscane,43.45,11.2,1
DomenicoBeccafumi,Toscane,43.45,11.2,3
EneaVico,Émilie-Romagne,44.75,11.0,1
FedericoZuccaro,Marches,43.316666666,13.0,1
FraBartolomeo,Toscane,43.45,11.2,2
FrancescoSalviati,Toscane,43.45,11.2,2
FrancescoVanni,Toscane,43.45,11.2,1
FrancescoVillamena,Ombrie,42.983333333,12.566666666,2
Giambologna,France,47.0,2.0,1
GiorgioGhisi,Lombardie,45.65,9.95,1
GiorgioVasari,Toscane,43.45,11.2,12
GiovanniAlberti,Toscane,43.45,11.2,2
GiovanniBattistaDeCavalieri,Trentin-Haut-Adige,46.383333333,11.416666666,1
GiovanniBattistaPittoni,Vénétie,45.733333333,11.85,1
GiovanniBattistaScultori,Lombardie,45.65,9.95,2
GiovanniDaUdine,Frioul-Vénétie Julienne,46.1,13.116666666,4
GiovanniFrancescoPenni,Toscane,43.45,11.2,5
GiovanniJacopoCaraglio,Vénétie,45.733333333,11.85,5
GiovanniMaggi,Latium,41.9,12.716666666,1
GiovanniSanti,Marches,43.316666666,13.0,3
GirolamoMuziano,Lombardie,45.65,9.95,2
GiulioBonasone,Émilie-Romagne,44.75,11.0,1
GiulioClovio,Croatie,45.25,15.466667,1
GiulioRomano,Latium,41.9,12.716666666,13
GiuseppeCesari,Latium,41.9,12.716666666,1
HendrickGoltzius,Allemagne,51.0,10.0,1
JacopoBarozziDaVignola,Émilie-Romagne,44.75,11.0,1
JacopoTintoretto,Vénétie,45.733333333,11.85,2
JeanCousin,France,47.0,2.0,1
LeonardoDaVinci,Toscane,43.45,11.2,6
LucasVanLeyden,Pays-Bas,52.316666666,5.55,1
MarcantonioRaimondi,Émilie-Romagne,44.75,11.0,21
MarcelloVenusti,Lombardie,45.65,9.95,1
MarcoDente,Émilie-Romagne,44.75,11.0,4
Masaccio,Toscane,43.45,11.2,2
MasoFiniguerra,Toscane,43.45,11.2,1
MichelAnge,Toscane,43.45,11.2,18
NicolasBeatrizet,France,47.0,2.0,1
PaoloVeronese,Vénétie,45.733333333,11.85,1
Parmigianino,Émilie-Romagne,44.75,11.0,5
PellegrinoAretusi,Émilie-Romagne,44.75,11.0,2
Perugin,Ombrie,42.983333333,12.566666666,13
PietroAretino,Toscane,43.45,11.2,2
PietroBembo,Vénétie,45.733333333,11.85,1
PietroBuonaccorsi,Toscane,43.45,11.2,3
Pinturicchio,Ombrie,42.983333333,12.566666666,1
PolidoroDaCaravaggio,Lombardie,45.65,9.95,3
RaffaelloGuidi,Toscane,43.45,11.2,1
Raphael,Marches,43.316666666,13.0,103
RidolfoDelGhirlandaio,Toscane,43.45,11.2,1
RossoFiorentino,Toscane,43.45,11.2,6
SandroBotticelli,Toscane,43.45,11.2,1
SebastianoDelPiombo,Vénétie,45.733333333,11.85,1
SebastianoSerlio,Émilie-Romagne,44.75,11.0,1
TaddeoZuccaro,Marches,43.316666666,13.0,1
Titien,Vénétie,45.733333333,11.85,5
UgoDaCarpi,Émilie-Romagne,44.75,11.0,4
VincenzoTamagni,Toscane,43.45,11.2,2
AlbrechtDurer,Allemagne,51.0,10.0,2
AndreaDelSarto,Toscane,43.45,11.2,2
Bramante,Marches,43.316666666,13.0,1
Correge,Émilie-Romagne,44.75,11.0,2
Dante,Toscane,43.45,11.2,7
