xml_id,birth_place,region1,region2,region,country,country_qid,region_qid
Stradanus,Bruges,arrondissement administratif de Bruges,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
PieterVanMol,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
KarelVanManderII,Courtrai,arrondissement administratif de Courtrai,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
HubertVanEyck,Maseyk,arrondissement administratif de Maaseik,Limbourg,Belgique,Belgique,Q31,Q31
FrancescoVanni,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273
GijsbertVanVeen,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
PieterVanVeen,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
BenedettoVarchi,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
JosephVarin,Châlons-en-Champagne,Marne,Grand Est,France,France,Q142,Q142
GiorgioVasari,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
GiovanniDeVecchi,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
CesareVecellio,Pieve di Cadore,Belluno,Vénétie,Vénétie,Italie,Q38,Q1243
FrancescoVecellio,Pieve di Cadore,Belluno,Vénétie,Vénétie,Italie,Q38,Q1243
OrazioVecellio,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
OttoVanVeen,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
AntonioVeneziano,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
AgnoloDiVentura,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273
MarcelloVenusti,Mazzo di Valtellina,Sondrio,Lombardie,Lombardie,Italie,Q38,Q1210
GiovanniMariaVerdizotti,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
JanCorneliszVermeyen,Beverwijk,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
LiberaleDaVerona,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243
StefanoDaVerona,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243
ZenoneVeronese,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243
PaoloVeronese,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243
AntonioVerrio,Lecce,province de Lecce,Pouilles,Pouilles,Italie,Q38,Q1447
AndreaVerrocchio,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
HendrickVerschuring,Gorinchem,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
EneaVico,Parme,Parme,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
ClaudeVignon,Tours,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
FrancescoVillamena,Assise,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280
LeonardoDaVinci,Anchiano,Vinci,ville métropolitaine de Florence,Toscane,Italie,Q38,Q1273
TimoteoViti,Urbino,Pesaro et Urbino,Marches,Marches,Italie,Q38,Q1279
