xml_id,wikidata_id,ulan_id
GiovanniAmbrogioMazenta,Q3766382,500074326
Parmigianino,Q9348,500012615
GirolamoMazzolaBedoli,Q1527051,500029049
LudovicoMazzolino,Q1351631,500024405
GiuseppeMeda,Q3108095,500008368
ClaudeMellan,Q1274026,500026391
FrancescoMelzi,Q469379,500020383
LippoMemmi,Q504963,500031555
SimoneMemmi,Q221043,500399029
FrancescoMerano,Q3081022,500019576
AntonelloDeMessine,Q5594,500007324
QuintenMetsys,Q314275,500025017
Michelozzo,Q309736,500032603
MichielJanszVanMiereveld,Q864092,500025466
FransVanMieris,Q959236,500005591
NicholasMignard,Q2555178,500028110
PierreMignard,Q360010,500000267
PierreIIMignard,Q3385503,500018031
AntonioMini,Q21710870,500031219
FrancescoMochi,Q1441151,500009099
PierFrancescoMola,Q1192715,500025440
JoosIIDeMomper,Q560548,500029526
PierreMonier,Q3386358,500024506
JacopoDaMontagnana,Q3157655,500023493
BaccioDaMontelupo,Q2245460,500008248
AnthonieVanMontfoortBlocklandt,Q2281325,500015653
AnthonisMorVanDashorst,Q176694,500027909
PaoloMorando,Q2382158,500008327
GiovanniBattistaMoroni,Q504949,500011118
JanHarmenszMuller,Q2725591,500015311
AgostinoVeneziano,Q2623716,500006613
GirolamoMuziano,Q1333792,500017682
LorenzoNaldini,Q98323508,500323067
RobertNanteuil,Q1356084,500023363
MichelNatalis,Q1176744,500191819
CesareNebbia,Q503575,500029229
CasparNetscher,Q217715,500019639
GiacomoNizzola,Q3805911,500126118
JeanNocret,Q3173734,500122479
AdamVanNoort,Q351328,500000382
LambertVanNoort,Q4901800,500003915
PietroPaoloOlivieri,Q19569719,500030396
GerardVanOpstal,Q673573,500030105
OrazioDeFerrari,Q1439681,500001928
FrancoisDOrbay,Q1270258,500016748
BernaertVanOrley,Q454678,500023119
HilairePader,Q23770459,500010882
BenedettoPagni,Q2895740,500027241
AndreaPalladio,Q177692,500021650
JacopoPalmaIlVecchio,Q9342,500014786
JacopoPalmaIlGiovane,Q651795,500027810
AntonioMariaPanico,Q90876960,500017456
