xml:id,name_fr,name_it,continent,country,geo,wikidata
Loches,Loches,Loches,,France,47.128611111111 0.99527777777778,Q213349
Lombez,Lombez,Lombez,,France,43.474722222222 0.91027777777778,Q253370
LyonsLaForet,Lyons-la-Forêt,Lyons-la-Forêt,,France,49.399444444444 1.4761111111111,Q115476
Marseille,Marseille,Marsiglia,,France,43.296666666667 5.3763888888889,Q23482
Maubeuge,Maubeuge,Maubeuge,,France,50.276944444444 3.9725,Q138648
Melun,Melun,Melun,,France,48.539722222222 2.6591666666667,Q41139
Meudon,Meudon,Meudon,,France,48.8075 2.2402777777778,Q234735
Montesson,Montesson,Montesson,,France,48.908611111111 2.1494444444444,Q830293
MontmirailSarthe,Montmirail,Montmirail,,France,48.102777777778 0.79055555555556,Q840523
MontoireSurLeLoir,Montoire-sur-le-Loir,Montoire-sur-le-Loir,,France,47.754166666667 0.86361111111111,Q752979
Montpellier,Montpellier,Montpellier,,France,43.610919444444 3.8772305555556,Q6441
Moulins,Moulins,Moulins,,France,46.564722222222 3.3325,Q184883
MezieresSurSeine,Mézières-sur-Seine,Mézières-sur-Seine,,France,48.958055555556 1.8038888888889,Q1464487
Narbonne,Narbonne,Narbona,,France,43.184722222222 3.0036111111111,Q6555
Nevers,Nevers,Nevers,,France,46.9925 3.1566666666667,Q166997
Nivernais,Nivernais,Nivernese,,France,46.99 3.16,Q1468519
Normandie,Normandie,Normandia,,France,49.18333333333333 -0.35,Q18677875
Nimes,Nîmes,Nîmes,,France,43.83833333333333 4.3597222222222225,Q42807
Orange,Orange,Orange,,France,44.1375 4.8088888888889,Q187796
Orleans,Orléans,Orléans,,France,47.902222222222 1.9041666666667,Q6548
Passy,Passy,Passy,,France,48.857111111111 2.2841361111111,Q1241308
Picardie,Picardie,Piccardia,,France,49.5 2.8333333333333,Q13950
Poitou,Poitou,Poitou,,France,46.64861111 -0.24777778,Q954076
Prasville,Prasville,Prasville,,France,48.275833333333 1.7108333333333,Q746057
Provence,Provence,Provenza,,France,44 6,Q101081
Roquebrun,Roquebrun,Roquebrun,,France,43.500555555556 3.0305555555556,Q269453
Rouen,Rouen,Rouen,,France,49.443055555556 1.1025,Q30974
SaintBeat,Saint-Béat,Saint-Béat,,France,42.914444444444 0.6925,Q671104
SaintCloud,Saint-Cloud,Saint-Cloud,,France,48.846388888889 2.2152777777778,Q189153
SaintDizier,Saint-Dizier,Saint-Dizier,,France,48.637777777778 4.9488888888889,Q208310
SaintGermainEnLaye,Saint-Germain-en-Laye,Saint-Germain-en-Laye,,France,48.896388888889 2.0905555555556,Q60847808
SaintLeuDEsserent,Saint-Leu-d'Esserent,Saint-Leu-d'Esserent,,France,49.217222222222 2.4219444444444,Q1332424
SaintMaurDesFosses,Saint-Maur-des-Fossés,Saint-Maur-des-Fossés,,France,48.8025 2.4855555555556,Q193313
SaintQuentinVille,Saint-Quentin,San Quintino,,France,49.847777777778 3.2855555555556,Q182744
SaintRemyDeProvence,Saint-Rémy-de-Provence,Saint-Rémy-de-Provence,,France,43.789444444444 4.8316666666667,Q221507
SaintEtienneVille,Saint-Étienne,Saint-Étienne,,France,45.433888888889 4.3897222222222,Q42716
Sarrancolin,Sarrancolin,Sarrancolin,,France,42.966388888889 0.37722222222222,Q1599885
Savoie,Savoie,Savoia,,France,45.57 5.9118,Q14118
